file,contains_column_errors,renamed_columns,missing_columns,added_columns,reordered_columns
Andromeda_College_corrected_columns_corrupted.xlsx,False,,,,False
Aperture_Science_Institute_corrected_columns_corrupted.xlsx,True,Middle_Name→MiddleName; First_Name→Frist_Name; Date_of_Birth→DateofBirth; CAIR_Program_Name→Program; Hours_of_Participation→Hours,Last_Name,Notes,False
Arkham_Technical_Institute_corrected_columns_corrupted.xlsx,True,Last_Name→LName,,,False
Arrakis_Desert_University_corrected_columns_corrupted.xlsx,True,Student_ID→Std_ID; Last_Name→Lst_Name; Middle_Name→Middle; CAIR_Program_Name→CAIR Program; Hours_of_Participation→Participation_Hours,,Notes,True
Asgardian_College_of_Engineering_corrected_columns_corrupted.xlsx,True,CAIR_Program_Name→CAIR Program; Hours_of_Participation→Part_Hours,,,True
Bajor_Community_College_corrected_columns_corrupted.xlsx,True,Student_ID→Stud_ID; Last_Name→Surname; Date_of_Birth→DOB; Hours_of_Participation→Participation,CAIR_Program_Name,Section,True
Bespin_Community_College_corrected_columns_corrupted.xlsx,True,Middle_Name→MiddleName; Date_of_Birth→Birth_Date; CAIR_Program_Name→CAIRProgram,Last_Name,,False
Black_Mesa_College_corrected_columns_corrupted.xlsx,False,,,,False
Blade_Runner_Institute_corrected_columns_corrupted.xlsx,False,,,,False
Citadel_University_corrected_columns_corrupted.xlsx,True,Student_ID→Stud_ID; Last_Name→last_name; Middle_Name→middle_initial; Date_of_Birth→DOB; CAIR_Program_Name→Program_Name; Hours_of_Participation→Hrs_of_Participation,,Advisor,False
Coruscant_Central_University_corrected_columns_corrupted.xlsx,False,,,,False
Cyberdyne_State_University_corrected_columns_corrupted.xlsx,False,,,,False
District_13_Polytechnic_corrected_columns_corrupted.xlsx,True,Student_ID→StudentId; Last_Name→Lst_Name; Middle_Name→middle_initial; Date_of_Birth→Birth_Date; Hours_of_Participation→Hrs_of_Participation,,,False
Eden_Prime_University_corrected_columns_corrupted.xlsx,False,,,,False
Gotham_University_corrected_columns_corrupted.xlsx,False,,,,False
Helghan_Academy_corrected_columns_corrupted.xlsx,False,,,,False
Hill_Valley_Community_College_corrected_columns_corrupted.xlsx,True,Last_Name→Surname; First_Name→Frist_Name; Date_of_Birth→Birthdate; CAIR_Program_Name→CAIRProgram,,Notes,True
Hogwarts_University_corrected_columns_corrupted.xlsx,False,,,,False
Hyperion_Community_College_corrected_columns_corrupted.xlsx,False,,,,False
Kamino_Research_University_corrected_columns_corrupted.xlsx,True,Student_ID→StudentId; Middle_Name→Middle; CAIR_Program_Name→C_A_I_R_Program; Hours_of_Participation→Total_Hours,Total_Hours,Department,True
Krypton_State_College_corrected_columns_corrupted.xlsx,False,,,,False
Mandalore_University_corrected_columns_corrupted.xlsx,True,Last_Name→LName; Date_of_Birth→date_of_birth; Hours_of_Participation→Total_Hours,,Department,False
Mass_Effect_Academy_corrected_columns_corrupted.xlsx,True,First_Name→FName; Date_of_Birth→Birthdate,Middle_Name,Notes,False
Naboo_Academy_of_Science_corrected_columns_corrupted.xlsx,False,,,,False
Neo-Tokyo_Polytechnic_corrected_columns_corrupted.xlsx,True,First_Name→FirstName; Hours_of_Participation→Part_Hours,,Notes,False
Nimbus_Cloud_College_corrected_columns_corrupted.xlsx,True,First_Name→Frist_Name; Date_of_Birth→B_Date; Hours_of_Participation→Participation_Hours,Student_ID,Advisor,True
Pandora_Research_Institute_corrected_columns_corrupted.xlsx,False,,,,False
Rapture_University_corrected_columns_corrupted.xlsx,True,Last_Name→Lst_Name; First_Name→FirstName; CAIR_Program_Name→Program; Hours_of_Participation→Total_Hours,,,True
Serenity_Valley_University_corrected_columns_corrupted.xlsx,False,,,,False
Skaro_Technical_Institute_corrected_columns_corrupted.xlsx,True,Last_Name→L-Name; Middle_Name→Middle; CAIR_Program_Name→CAIR Program; Hours_of_Participation→Hours,,Department,True
Starfleet_Academy_corrected_columns_corrupted.xlsx,False,,,,False
Tatooine_Technical_College_corrected_columns_corrupted.xlsx,True,Student_ID→Std_ID; Middle_Name→M_Name; Date_of_Birth→DateofBirth; CAIR_Program_Name→ProgramName; Hours_of_Participation→Participation,ProgramName,,True
Trantor_University_corrected_columns_corrupted.xlsx,True,Middle_Name→Mid_Name; Date_of_Birth→Birthdate; CAIR_Program_Name→Program,,,False
Tyrell_Corporation_Academy_corrected_columns_corrupted.xlsx,True,First_Name→first_name; Date_of_Birth→date_of_birth,,Notes,False
Vault-Tec_Technical_College_corrected_columns_corrupted.xlsx,True,Student_ID→StudentId; Middle_Name→Middle; First_Name→Given_Name; Date_of_Birth→DateofBirth; CAIR_Program_Name→Program; Hours_of_Participation→Part_Hours,,,False
Vulcan_Science_Academy_corrected_columns_corrupted.xlsx,True,Student_ID→Studant_ID; Date_of_Birth→DOB; CAIR_Program_Name→Program,Studant_ID,,False
Wakanda_Polytechnic_corrected_columns_corrupted.xlsx,False,,,,False
Weyland-Yutani_University_corrected_columns_corrupted.xlsx,True,Date_of_Birth→B_Date,Student_ID,Advisor,True
Winterfell_College_corrected_columns_corrupted.xlsx,False,,,,False
Xavier_Institute_corrected_columns_corrupted.xlsx,False,,,,False
fake_students_all_colleges_corrected_columns_corrupted.xlsx,False,,,,False
